"Uf","IBGE","Municipio","CNES","Estabelecimento","INE""Populaçao"
"MS","500793","SONORA","2591545","UNIDADE DE SAUDE DA FAMILIA BOA VISTA","0000444871","3249"
"MS","500830","TRÊS LAGOAS","2757141","ESTRATEGIA DE SAUDE DA FAMILIA VILA HARO","0000445169","5244"
"MS","500830","TRÊS LAGOAS","2757117","ESTRATEGIA DE SAUDE DA FAMILIA SANTA RITA","0000445118","3516"
"MS","500270","CAMPO GRANDE","9443525","SESAU USF BENEDITO MARTINS GONCALVES OLIVEIRA II","0001667947","2112"
"MS","500830","TRÊS LAGOAS","2757168","ESF VILA PILOTO ADRIANA CRISTINA DE QUEIROZ GORGA","0001691694","493"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0001707914","8"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0001707930","0"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439274","794"
"MS","500370","DOURADOS","9837663","UBS DR LUIZ CARLOS SIEBERT","0001686208","1049"
"MS","500210","BELA VISTA","6645755","ESTRATEGIA DE SAUDE DA FAMILIA RURAL II","0000438634","1713"
"MS","500270","CAMPO GRANDE","0010138","SESAU UBS DRA ELEONORA M QUEVEDO SILVIA REGINA","0000438960","1117"
"MS","500270","CAMPO GRANDE","3051927","SESAU USF DR JURANDYR DE CASTRO COIMBRA ZE PEREIRA","0001644734","1107"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0000439789","885"
"MS","500830","TRÊS LAGOAS","2757141","ESTRATEGIA DE SAUDE DA FAMILIA VILA HARO","0000445177","0"
"MS","500620","NOVA ANDRADINA","3881032","ESF CENTRO","0001711725","42"
"MS","500370","DOURADOS","5592593","UNIDADE BASICA DE SAUDE DRA HELENA YOSHIE MORIBE","0001623117","2799"
"MS","500370","DOURADOS","7489102","UNIDADE BASICA DE SAUDE ERISVALDO MENDONCA DOS SANTOS","0001620266","2524"
"MS","500370","DOURADOS","2711168","UNIDADE BASICA DE SAUDE OTAVIA VITORINO SERRANTE","0001623087","2018"
"MS","500370","DOURADOS","2710889","UNIDADE BASICA DE SAUDE DR LEON TOLSTOI RODRIGUES DE LIMA","0000441775","2819"
"MS","500370","DOURADOS","2711117","UNIDADE BASICA DE SAUDE MOTOHIDE HIRAISHI MARACANA","0000441953","3810"
"MS","500370","DOURADOS","3977927","UNIDADE BASICA DE SAUDE DR NELSON RODOLFO KOZOROSKI","0000442097","3868"
"MS","500375","ELDORADO","2599945","PROGRAMA DE SAUDE DA FAMILIA BAIRRO IPE","0000442232","4067"
"MS","500400","GLÓRIA DE DOURADOS","7185138","ESF ALTO DA GLORIA","0000442364","3320"
"MS","500410","GUIA LOPES DA LAGUNA","2558882","UNIDADE DE SAUDE DA FAMILIA OVIDIO PAULO DE OLIVEIRA","0000442380","2769"
"MS","500410","GUIA LOPES DA LAGUNA","6510450","UNIDADE DE SAUDE DA FAMILIA REINALDO DE ARRUDA","0000442399","3135"
"MS","500430","IGUATEMI","2603306","UNIDADE DE SAUDE DA FAMILIA VILA NOVA ESPERANCA","0000442429","4117"
"MS","500440","INOCÊNCIA","7195389","UESF BOCAINA","0000442518","1104"
"MS","500450","ITAPORÃ","2361434","ESF CARUMBE E SANTA TEREZINHA FLORIANO O QUARESMA","0001491601","1025"
"MS","500470","IVINHEMA","2371146","ESF DR GERALDO MAGNO RESENDE","0000442666","2538"
"MS","500480","JAPORÃ","7511833","ESF JAPORA","0001534114","2154"
"MS","500500","JARDIM","2376431","UNIDADE BASICA DE SAUDE NESTOR PEREIRA","0001599968","1643"
"MS","500270","CAMPO GRANDE","0024422","SESAU USF DR ALBINO COIMBRA SANTA CARMELIA","0000439673","1562"
"MS","500270","CAMPO GRANDE","0024341","SESAU USF EDSON QUINTINO MENDES JARDIM ITAMARACA","0000439614","840"
"MS","500270","CAMPO GRANDE","0024341","SESAU USF EDSON QUINTINO MENDES JARDIM ITAMARACA","0000439649","2065"
"MS","500270","CAMPO GRANDE","2752530","SESAU CF DRA MARCIA DE SA EARP NOVA LIMA","0001644505","2424"
"MS","500270","CAMPO GRANDE","7108001","SESAU USF DR ELIZABTH WANDERLE TOBARU BOTAFOGO","0001644696","1818"
"MS","500270","CAMPO GRANDE","7568835","SESAU USF MARIA IVONE DE O NASCIMENTO ARAKAKI VILA FERNANDA","0000439916","2398"
"MS","500270","CAMPO GRANDE","0010278","SESAU USF MARIA APARECIDA PEDROSSIAN","0000439312","2309"
"MS","500270","CAMPO GRANDE","0010316","SESAU USF DR VICENTE FRAGELLI CIDADE MORENA","0001557955","1621"
"MS","500295","CHAPADÃO DO SUL","6861512","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA FLAMBOYANT","0000440965","7460"
"MS","500310","CORGUINHO","2371758","ESTRATEGIA DA SAUDE DA FAMILIA DE CORGUINHO","0000441007","2393"
"MS","500320","CORUMBÁ","2676796","UNIDADE BASICA DE SAUDE SAO BARTOLOMEU","0000441260","3708"
"MS","500320","CORUMBÁ","2559498","UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA","0000441198","3644"
"MS","500320","CORUMBÁ","6585426","UNIDADE BASICA DE SAUDE LUIS FRAGELLI","0000441309","4242"
"MS","500330","COXIM","2752573","UNIDADE DE SAUDE DA FAMILIA SANTA MARIA","0000441473","1661"
"MS","500350","DOURADINA","2536706","UNIDADE BASICA DE SAUDE PSF II FIRMO INACIO DA SILVA","0000441635","2668"
"MS","500370","DOURADOS","6943551","UNIDADE BASICA DE SAUDE ACS MARTA SIQUEIRA RODRIGUES","0000442224","3133"
"MS","500370","DOURADOS","2710854","UNIDADE BASICA DE SAUDE DR JULVIS ARRUDA MATOS IV PLANO","0000441694","1369"
"MS","500020","ÁGUA CLARA","9318348","UBSF SEBASTIANA DE BRITO PASCOAL","0000437646","4926"
"MS","500060","AMAMBAI","2559463","UNIDADE DE SAUDE DA FAMILIA VILAS INTEGRADAS","0000437719","3324"
"MS","500060","AMAMBAI","2558440","UNIDADE DE SAUDE DA FAMILIA VILA LIMEIRA","0000437689","2643"
"MS","500085","ANGÉLICA","2376628","ESF VILA ESPERANCA","0000437999","2293"
"MS","500090","ANTÔNIO JOÃO","2710625","ESF SALVANI SIMPLICIO FREITAS","0000438030","3103"
"MS","500100","APARECIDA DO TABOADO","3569578","ESF VILA PEREIRA","0000438081","4113"
"MS","500110","AQUIDAUANA","5601010","UNIDADE DE SAUDE DA FAMILIA BAIRRO ALTO","0000438286","2595"
"MS","500110","AQUIDAUANA","2360225","UNIDADE DE SAUDE DA FAMILIA CAMISAO","0000438170","1534"
"MS","500150","BANDEIRANTES","2536439","UNIDADE DE SAUDE DA FAMILIA I","0000438367","2447"
"MS","500190","BATAGUASSU","5777321","ESF RITA GUARDINI PACHECO","0000438464","4868"
"MS","500190","BATAGUASSU","2371049","UNIDADE DE SAUDE JARDIM ACAPULCO","0000438405","3883"
"MS","500200","BATAYPORÃ","6526594","ESTRATEGIA DE SAUDE DA FAMILIA SEBASTIAO MARTINS DE OLIVEIRA","0000438537","2238"
"MS","500210","BELA VISTA","2376407","ESF DR CARLOS SOLANO NUNES PRIMAVERAS","0000438553","3320"
"MS","500210","BELA VISTA","2710676","ESF DR AMAURI NANTES MUNIS JOAO DE BARRO","0000438596","2284"
"MS","500220","BONITO","7687524","UNIDADE DE SAUDE DA FAMILIA JARDIM BOM VIVER","0001535374","2973"
"MS","500230","BRASILÂNDIA","2710730","UNIDADE SAUDE DA FAMILIA II DE BRASILANDIA","0000438766","3343"
"MS","500240","CAARAPÓ","2536501","ESTRATEGIA DE SAUDE DA FAMILIA BENEDITO CARDOSO","0000438804","3855"
"MS","500260","CAMAPUÃ","6375014","UNIDADE DE SAUDE DA FAMILIA III CENTRAL","0000438936","1634"
"MS","500270","CAMPO GRANDE","5672341","SESAU USF DR JOAO MIGUEL BASMAGE ESTRELA DALVA","0000440450","2826"
"MS","500270","CAMPO GRANDE","7108052","SESAU USF DR NELSON ASSEF BUAINAIN JARDIM ANTARTICA","0000440779","2012"
"MS","500270","CAMPO GRANDE","7108052","SESAU USF DR NELSON ASSEF BUAINAIN JARDIM ANTARTICA","0000440809","3582"
"MS","500270","CAMPO GRANDE","9230246","SESAU USF DR SYRZIL WILSON MAKSOUD SIRIO LIBANES","0001644858","1885"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0000439894","1915"
"MS","500270","CAMPO GRANDE","3285294","SESAU USF SEBASTIAO LUIZ NOGUEIRA LOS ANGELES","0000440256","2860"
"MS","500270","CAMPO GRANDE","3285294","SESAU USF SEBASTIAO LUIZ NOGUEIRA LOS ANGELES","0001644688","3024"
"MS","500270","CAMPO GRANDE","3598209","SESAU USF HERBERTO CALADO REBELO AERO ITALIA","0000440418","2242"
"MS","500270","CAMPO GRANDE","5506158","SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO","0000440434","4101"
"MS","500270","CAMPO GRANDE","3311260","SESAU USF PASTOR ELISEU FEITOSA DE ALENCAR SAO CONRADO","0000440329","2257"
"MS","500520","LADÁRIO","7560680","UNIDADE BASICA DE SAUDE CENTRO","0001546295","737"
"MS","500525","LAGUNA CARAPÃ","2482533","UNIDADE DE SAUDE DA FAMILIA BOCAJA","0000443042","1028"
"MS","500540","MARACAJU","5351359","UBS ESF AMBROZIO OLEGARIO DE LIMA","0000443131","4375"
"MS","500560","MIRANDA","9424849","ESF NS APARECIDA","0001655787","2616"
"MS","500568","MUNDO NOVO","2374315","UNIDADE DE SAUDE DA FAMILIA I","0000443239","1654"
"MS","500570","NAVIRAÍ","5657512","ESF SAO PEDRO","0000443328","3449"
"MS","500580","NIOAQUE","2676877","UNIDADE DE SAUDE DA FAMILIA DE NIOAQUE URBANO 1 JONAS PEDRO","0000443425","1973"
"MS","500630","PARANAÍBA","2536404","UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES","0000443697","4009"
"MS","500720","RIO BRILHANTE","2804530","ESTRATEGIA SAUDE DA FAMILIA ANTONIO APARECIDO BITENCOURT","0000444235","2525"
"MS","500720","RIO BRILHANTE","2804514","ESTRATEGIA SAUDE DA FAMILIA JAIME MEDEIROS","0000444219","4502"
"MS","500740","RIO VERDE DE MATO GROSSO","2599961","UNIDADE DE SAUDE DA FAMILIA PARAISO CACERENCE","0000444391","1488"
"MS","500740","RIO VERDE DE MATO GROSSO","2537001","UNIDADE SAUDE DA FAMILIA CAMPO ALEGRE","0000444383","2121"
"MS","500769","SÃO GABRIEL DO OESTE","2591359","UNIDADE DE SAUDE DA FAMILIA V","0000444510","3452"
"MS","500770","SETE QUEDAS","6356613","ESF VILA DA PAZ","0000444626","2041"
"MS","500790","SIDROLÂNDIA","2370875","UNIDADE DE SAUDE DA FAMILIA DA VILA SAO BENTO","0000444693","4443"
"MS","500797","TAQUARUSSU","2558599","UNIDADE DE SAUDE DA FAMILIA TAQUARUSSU","0000444936","2312"
"MS","500800","TERENOS","2676559","POSTO DE SAUDE DA FAMILIA UNIDADE VILA FERREIRA","0000444952","1988"
"MS","500800","TERENOS","5045789","POSTO DE SAUDE DA FAMILIA UNIDADE PATAGONIA","0000444960","1022"
"MS","500830","TRÊS LAGOAS","2757060","ESF INTERLAGOS GABRIEL MARQUES FERNANDES","0000445029","3369"
"MS","500270","CAMPO GRANDE","0028851","SESAU USF ALFREDO NEDER COOPHAVILA II","0000439983","1398"
"MS","500690","PORTO MURTINHO","0093165","ESF IV JAMIL ELEONOR GARCIA","0001712411","55"
"MS","500480","JAPORÃ","2374382","UNIDADE BASICA DE SAUDE DE JAPORA","0000442739","370"
"MS","500270","CAMPO GRANDE","0024457","SESAU USF DR ANTONIO PEREIRA TIRADENTES","0001707922","3"
"MS","500270","CAMPO GRANDE","0010324","SESAU UBS DR WILLIAN MACKSOUD ESTRELA DO SUL","0001482467","2625"
"MS","500270","CAMPO GRANDE","0010251","SESAU UBS DR ALBERTO NEDER CAICARA","0000439266","660"
"MS","500240","CAARAPÓ","2376202","UNIDADE BASICA DE SAUDE IDALIA ROSA DE JESUS","0000438782","1529"
"MS","500270","CAMPO GRANDE","0010227","SESAU UBS JAIR GARCIA DE FREITAS 26 DE AGOSTO","0000439207","1011"
"MS","500270","CAMPO GRANDE","0024449","SESAU UBS DR JOAO PEREIRA DA ROSA AERO RANCHO","0000439746","1225"
"MS","500270","CAMPO GRANDE","0010308","SESAU UBS DR JORGE DAVID NASSER JOCKEY CLUB","0000439371","1740"
"MS","500770","SETE QUEDAS","9921613","UNIDADE BASICA DA SAUDE DA FAMILIA DE SETE QUEDAS","0001693514","2066"
"MS","500830","TRÊS LAGOAS","9543333","UNIDADE BASICA DE SAUDE NOVA TRES LAGOAS","0001650696","736"
"MS","500830","TRÊS LAGOAS","2757079","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE JOEL NEVES SILVA","0001691414","378"
"MS","500370","DOURADOS","2711125","UNIDADE BASICA DE SAUDE PARQUE DAS NACOES II","0000441961","2930"
"MS","500370","DOURADOS","2711133","UNIDADE BASICA DE SAUDE RAMAO VIEIRA CACHOEIRINHA","0000441996","2979"
"MS","500370","DOURADOS","2711141","UNIDADE BASICA DE SAUDE DR ARCHIDUQUE FERNANDES","0000442038","2481"
"MS","500370","DOURADOS","2711141","UNIDADE BASICA DE SAUDE DR ARCHIDUQUE FERNANDES","0000442011","1943"
"MS","500370","DOURADOS","2710889","UNIDADE BASICA DE SAUDE DR LEON TOLSTOI RODRIGUES DE LIMA","0000441783","2937"
"MS","500450","ITAPORÃ","2361442","ESF SANTA MARIA ARYOVALDO MARIA BENTO","0000442534","3146"
"MS","500450","ITAPORÃ","2651483","ESF MONTESE E PIRAPORA JOSE J CORREA ANGELINA T CUNHA","0000442550","1768"
"MS","500470","IVINHEMA","6220096","ESF PIRAVEVE","0000442720","3632"
"MS","500470","IVINHEMA","9783083","ESF DAS PALMEIRAS","0001682113","827"
"MS","500470","IVINHEMA","7439687","ESF DR JORGE ADALBERTO MAGRI","0001513524","2219"
"MS","500480","JAPORÃ","2374390","UNIDADE DE SAUDE DA FAMILIA DE JACAREI","0000442755","1289"
"MS","500490","JARAGUARI","2651467","UNIDADE DE SAUDE FAMILIA I","0000442798","1219"
"MS","500500","JARDIM","3531627","PSF III GALTON CARVALHO LEITE","0000442860","2949"
"MS","500520","LADÁRIO","6721451","UNIDADE BASICA DE SAUDE ERICO VALLE LOAIZA","0001578839","806"
"MS","500520","LADÁRIO","9241558","UNIDADE BASICA DE SAUDE MARIA FRANCISCA RAMONA DA CRUZ","0000442992","229"
"MS","500270","CAMPO GRANDE","0028827","SESAU CF MARIA DE LOURDES DOS SANTOS PORTAL CAIOBA","0001674218","2363"
"MS","500270","CAMPO GRANDE","7096895","SESAU USF DR HELIO MARTINS COELHO BATISTAO","0000440663","2834"
"MS","500270","CAMPO GRANDE","7096887","SESAU USF DR NELSON TOKUEI SIMABUKURO AERO RANCHO IV","0000440612","2962"
"MS","500270","CAMPO GRANDE","0010278","SESAU USF MARIA APARECIDA PEDROSSIAN","0000439304","2377"
"MS","500280","CARACOL","2611937","ESF CANDELARIA NUNES","0000440817","1714"
"MS","500290","CASSILÂNDIA","3415783","UNIDADE BASICA DE SAUDE GERALDO FERNANDES DA SILVA","0000440914","1715"
"MS","500290","CASSILÂNDIA","2375729","UNIDADE BASICA DE SAUDE JOSE MANOEL SIMOES","0000440841","1541"
"MS","500315","CORONEL SAPUCAIA","6691420","UNIDADE SAUDE DA FAMILIA JELSON FLORES RODRIGUES","0000441058","3089"
"MS","500320","CORUMBÁ","7320108","UNIDADE BASICA DE SAUDE DR PEDRO PAULO DE BARROS II","0001484516","3441"
"MS","500320","CORUMBÁ","7836546","UNIDADE BASICA DE SAUDE RANULFO DE JESUS VASCONCELLOS","0001556916","3619"
"MS","500320","CORUMBÁ","2603470","UNIDADE BASICA DE SAUDE RURAL TAQUARAL","0000441252","1864"
"MS","500325","COSTA RICA","2375788","UNIDADE SAUDE FAMILIA VALE DO AMANHECER","0001676539","1448"
"MS","500325","COSTA RICA","2558920","UNIDADE DE SAUDE DA FAMILIA SAO FRANCISCO","0000441341","3593"
"MS","500330","COXIM","2482649","UNIDADE DE SAUDE DA FAMILIA TOTO ARAUJO","0000441414","2730"
"MS","500330","COXIM","2482681","PSF RURAL ARGEMIRO DE SOUZA BARBOSA","0000441449","2458"
"MS","500330","COXIM","3338258","UNIDADE DE SAUDE DA FAMILIA ILDA MARIA KOHL","0000441503","2256"
"MS","500060","AMAMBAI","2558432","UNIDADE DE SAUDE DA FAMILIA VILA DORIANA","0000437670","2032"
"MS","500070","ANASTÁCIO","2591499","ESF ESTRATEGIA DE SAUDE DA FAMILIA ANASTACIO","0000437867","4052"
"MS","500070","ANASTÁCIO","2599406","POSTO DE SAUDE MONJOLINHO","0000437875","1238"
"MS","500070","ANASTÁCIO","2376032","UNIDADE BASICA DE SAUDE ALFREDO GARCIA","0000437824","1754"
"MS","500070","ANASTÁCIO","6989438","ESF ALTOS DA CIDADE","0000437905","1821"
"MS","500085","ANGÉLICA","2361426","ESF CENTRAL","0000437964","3884"
"MS","500110","AQUIDAUANA","2659670","UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA","0000438200","3345"
"MS","500110","AQUIDAUANA","2659670","UNIDADE DE SAUDE DA FAMILIA CIDADE NOVA","0000438219","2567"
"MS","500110","AQUIDAUANA","2659689","ESTRATEGIA DE SAUDE DA FAMILIA NOVA AQUIDAUANA","0000438227","2929"
"MS","500110","AQUIDAUANA","3240061","ESTRATEGIA DE SAUDE DA FAMILIA GUANANDY","0000438243","2697"
"MS","500200","BATAYPORÃ","2376741","ESTRATEGIA DE SAUDE DA FAMILIA SANTO ANTONIO","0000438510","2126"
"MS","500210","BELA VISTA","2710668","ESF DR ELY DE ARAUJO BARBOSA CENTRAL","0000438588","1770"
"MS","500240","CAARAPÓ","7745273","ESTRATEGIA DE SAUDE DA FAMILIA NUCLEO V","0001579908","4420"
"MS","500260","CAMAPUÃ","2536609","UNIDADE DE SAUDE DA FAMILIA I BAIRRO ALTO","0000438855","1547"
"MS","500270","CAMPO GRANDE","5672368","SESAU USF MESTRE JOSE ALBERTO VERONESE SEMINARIO","0000440515","2679"
"MS","500270","CAMPO GRANDE","0010235","SESAU USF DR MILTON KOJO CHINEN VILA NASSER","0001672274","1740"
"MS","500270","CAMPO GRANDE","0010235","SESAU USF DR MILTON KOJO CHINEN VILA NASSER","0001644335","1040"
"MS","500270","CAMPO GRANDE","3005690","SESAU USF JARDIM NOROESTE","0000440078","2794"
"MS","500270","CAMPO GRANDE","3005690","SESAU USF JARDIM NOROESTE","0000440051","4026"
"MS","500270","CAMPO GRANDE","0028835","SESAU USF DR BENJAMIM ASATO PARQUE DO SOL","0000439959","3712"
"MS","500270","CAMPO GRANDE","0010332","SESAU USF SAO FRANCISCO","0001644971","1195"
"MS","500270","CAMPO GRANDE","0010332","SESAU USF SAO FRANCISCO","0001644963","2059"
"MS","500270","CAMPO GRANDE","3334406","SESAU USF NOVA ESPERANCA","0000440345","2449"
"MS","500270","CAMPO GRANDE","0028789","SESAU USF DR JUDSON TADEU RIBAS MORENINHA III","0001644513","1645"
"MS","500270","CAMPO GRANDE","6731198","SESAU USF DR FERNANDO DE ARRUDA TORRES JOSE TAVARES","0000440574","2920"
"MS","500270","CAMPO GRANDE","5506158","SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO","0000440442","2768"
"MS","500270","CAMPO GRANDE","5506158","SESAU CF DR MAURO R BARROS WANDERLEY IRACY COELHO","0000440426","3627"
"MS","500540","MARACAJU","3833763","UBS DR ROGELIO CASAL CAMINHA ESF SANTA GUILHERMINA","0000443115","764"
"MS","500570","NAVIRAÍ","7018428","ESF SOL NASCENTE","0000443379","5591"
"MS","500600","NOVA ALVORADA DO SUL","3996743","UNIDADE BASICA DE SAUDE DA FAMILIA LAURITA DIAS DE SOUZA","0000443492","966"
"MS","500620","NOVA ANDRADINA","3188957","ESF HORTO FLORESTAL","0000443603","4274"
"MS","500630","PARANAÍBA","3050270","UNIDADE SAUDE DA FAMILIA SANTA LUCIA","0000443735","3872"
"MS","500630","PARANAÍBA","2536404","UNIDADE SAUDE DA FAMILIA NOSSA SENHORA DE LOURDES","0000443689","2513"
"MS","500630","PARANAÍBA","3050270","UNIDADE SAUDE DA FAMILIA SANTA LUCIA","0000443751","3488"
"MS","500660","PONTA PORÃ","6384587","UNIDADE BASICA DESAUDE DA FAMILIA DR CARLOS AUGUSTO P ISSINI","0000444081","2140"
"MS","500690","PORTO MURTINHO","2376415","UNIDADE BASICA DE SAUDE DE PORTO MURTINHO","0001486284","4243"
"MS","500710","RIBAS DO RIO PARDO","2536986","ESTRATEGIA DE SAUDE DA FAMILIA SAO SEBASTIAO","0000444162","2034"
"MS","500720","RIO BRILHANTE","7613687","ESTRATEGIA SAUDE DA FAMILIA VILA FATIMA","0000444200","4199"
"MS","500740","RIO VERDE DE MATO GROSSO","2536994","UNIDADE SAUDE DA FAMILIA JARDIM DOS ESTADOS","0000444375","1745"
"MS","500769","SÃO GABRIEL DO OESTE","2370964","UNIDADE DE SAUDE DA FAMILIA III","0000444472","3453"
"MS","500769","SÃO GABRIEL DO OESTE","7333218","UNIDADE DE SAUDE DA FAMILIA X","0001487442","3583"
"MS","500780","SELVÍRIA","2371103","UNIDADE SAUDE DA FAMILIA GUADALUPE","0000444634","1949"
"MS","500790","SIDROLÂNDIA","5121728","PSF DO ASSENT CAPAO BONITO II","0000444782","1454"
"MS","500790","SIDROLÂNDIA","2370832","UNIDADE SAUDE FAMILIA LAR DA VILA JANDAIA","0000444677","4418"
"MS","500790","SIDROLÂNDIA","5767776","ESF DO ASSENTAMENTO ELDORADO II","0000444812","2627"
"MS","500800","TERENOS","5529182","POSTO DE SAUDE DA FAMILIA UNIDADE SANTA MONICA","0000444995","1050"
"MS","500830","TRÊS LAGOAS","9390693","ESF JARDIM ATENAS BISPO DOM MOREIRA","0001639587","4369"
"MS","500830","TRÊS LAGOAS","2757060","ESF INTERLAGOS GABRIEL MARQUES FERNANDES","0000445037","4138"
"MS","500830","TRÊS LAGOAS","2757109","ESTRATEGIA DE SAUDE DA FAMILIA PARANAPUNGA","0000445088","3560"
"MS","500830","TRÊS LAGOAS","2757095","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE MIGUEL NUNES","0000445061","3061"
"MS","500830","TRÊS LAGOAS","2757095","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE MIGUEL NUNES","0001637231","2189"
"MS","500830","TRÊS LAGOAS","2757141","ESTRATEGIA DE SAUDE DA FAMILIA VILA HARO","0000445185","4276"
"MS","500840","VICENTINA","2558335","UNIDADE SAUDE DA FAMILIA RURAL VILA RICA","0000445266","1733"
"MS","500270","CAMPO GRANDE","9898271","SESAU USF DR EVANDRO M DE ARRUDA DOM ANTONIO","0001686798","1732"
"MS","500270","CAMPO GRANDE","0010170","SESAU UBS DR VESPASIANO BARBOSA MARTINS VILA POPULAR","0001558021","1550"
"MS","500270","CAMPO GRANDE","0010324","SESAU UBS DR WILLIAN MACKSOUD ESTRELA DO SUL","0000439428","2064"
"MS","500270","CAMPO GRANDE","0010138","SESAU UBS DRA ELEONORA M QUEVEDO SILVIA REGINA","0000438979","1088"
"MS","500270","CAMPO GRANDE","0024465","SESAU UBS ENG ARTHUR HOKAMA DONA NETA GUANANDI","0001558056","805"
"MS","500270","CAMPO GRANDE","0010367","SESAU UBS DR CELSO LACERDA DE AZEVEDO PIONEIRA","0000439509","1297"
"MS","500270","CAMPO GRANDE","0024430","SESAU UBS DR GERMANO BARROS DE SOUZA UNIVERSITARIO","0001482688","2006"
"MS","500270","CAMPO GRANDE","0010227","SESAU UBS JAIR GARCIA DE FREITAS 26 DE AGOSTO","0001482483","657"
"MS","500270","CAMPO GRANDE","0010189","SESAU UBS DR NICOLAU FRAGELLI LAR DO TRABALHADOR","0000439126","2022"
"MS","500270","CAMPO GRANDE","0010189","SESAU UBS DR NICOLAU FRAGELLI LAR DO TRABALHADOR","0000439096","1265"
"MS","500270","CAMPO GRANDE","0024473","SESAU UBS BAIRRO CORONEL ANTONINO","0001675931","990"
"MS","500560","MIRANDA","2376024","UNIDADE BASICA DE SAUDE DE MIRANDA","0000443174","155"
"MS","500710","RIBAS DO RIO PARDO","7487770","ESTRATEGIA DE SAUDE DA FAMILIA DR HABIB FAHED","0001574353","1377"
"MS","500830","TRÊS LAGOAS","9543333","UNIDADE BASICA DE SAUDE NOVA TRES LAGOAS","0001637223","1176"
"MS","500830","TRÊS LAGOAS","2757052","EACS EURIDICE CHAGAS CRUZ","0001629581","1484"
"MS","500830","TRÊS LAGOAS","2757079","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE JOEL NEVES SILVA","0001691422","678"
"MS","500830","TRÊS LAGOAS","2757133","ESTRATEGIA DE AGENTES COMUNITARIOS DE SAUDE VILA ALEGRE","0000445150","985"
"MS","500370","DOURADOS","7489102","UNIDADE BASICA DE SAUDE ERISVALDO MENDONCA DOS SANTOS","0001624822","2930"
"MS","500370","DOURADOS","2711117","UNIDADE BASICA DE SAUDE MOTOHIDE HIRAISHI MARACANA","0000441937","3017"
"MS","500375","ELDORADO","2599953","PROGRAMA DE SAUDE DA FAMILIA RURAL MANOEL GOMES DA SILVA","0000442240","1924"
"MS","500440","INOCÊNCIA","2536773","UESF VALMIR VIEIRA LIMA","0000442461","2022"
"MS","500440","INOCÊNCIA","2536811","UESF ABADIO GARCIA LEAL","0000442496","1195"
"MS","500450","ITAPORÃ","6848028","UNIDADE DE SAUDE DA FAMILIA CENTRAL DE ITAPORA","0000442569","2576"
"MS","500460","ITAQUIRAÍ","2676842","UNIDADE SAUDE JOAO BATISTA GALLINA","0000442623","1224"
"MS","500460","ITAQUIRAÍ","7009496","ESTRATEGIA DE SAUDE COMPLEXO SANTO ANTONIO","0000442658","1375"
"MS","500470","IVINHEMA","2371189","ESF VITORIA","0000442690","3253"
"MS","500500","JARDIM","9047662","ESF VIII CELIO JOSE PEREIRA","0001611062","899"
"MS","500500","JARDIM","2376431","UNIDADE BASICA DE SAUDE NESTOR PEREIRA","0001599941","3257"
"MS","500520","LADÁRIO","6721451","UNIDADE BASICA DE SAUDE ERICO VALLE LOAIZA","0000443026","208"
"MS","500290","CASSILÂNDIA","2375737","UNIDADE BASICA DE SAUDE DR ADAIAS MARQUES MOREIRA","0000440868","1629"
"MS","500295","CHAPADÃO DO SUL","7939590","UNIDADE ESTRATEGIA DA SAUDE DA FAMILIA PLANALTO","0001603167","2489"
"MS","500295","CHAPADÃO DO SUL","2375699","UNIDADE DE SAUDE DA FAMILIA DE CHAPADAO DO SUL","0000440949","3772"
"MS","500320","CORUMBÁ","2591405","UNIDADE BASICA DE SAUDE DRA LUCIA MARIA PEREIRA DE CARVALHO","0000441236","4199"
"MS","500320","CORUMBÁ","2559498","UNIDADE BASICA DE SAUDE GASTAO DE OLIVEIRA","0000441201","3053"
"MS","500320","CORUMBÁ","2376121","UNIDADE BASICA DE SAUDE PADRE ERNESTO SASSIDA","0000441090","3598"
"MS","500320","CORUMBÁ","3043770","UNIDADE BASICA DE SAUDE JOAO FERNANDES","0000441279","3264"
"MS","500325","COSTA RICA","2375788","UNIDADE SAUDE FAMILIA VALE DO AMANHECER","0000441406","3824"
"MS","500325","COSTA RICA","2558947","UNIDADE DE SAUDE DA FAMILIA VILA NUNES","0000441368","3226"
"MS","500330","COXIM","9073124","UBS DO SENHOR DIVINO DR FLAVIO GARCIA","0000441430","2067"
